iter	Passed	Remaining
0	0	63
1	1	76
2	2	91
3	3	78
4	4	88
5	6	94
6	7	98
7	8	101
8	9	97
9	10	95
10	12	97
11	13	98
12	14	95
13	15	94
14	16	95
15	18	95
16	19	97
17	20	94
18	21	91
19	22	91
20	24	91
21	26	92
22	27	92
23	28	91
24	30	90
25	31	89
26	32	88
27	34	87
28	35	87
29	36	86
30	38	85
31	40	85
32	41	83
33	42	82
34	44	81
35	48	86
36	49	84
37	51	83
38	52	81
39	53	80
40	54	78
41	55	76
42	56	74
43	56	72
44	57	70
45	58	68
46	59	66
47	60	65
48	61	63
49	61	61
50	62	60
51	63	58
52	64	57
53	65	55
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	69	46
60	70	45
61	71	43
62	71	42
63	72	40
64	73	39
65	74	38
66	74	36
67	75	35
68	75	33
69	76	32
70	76	31
71	77	30
72	79	29
73	79	28
74	80	26
75	81	25
76	81	24
77	82	23
78	83	22
79	83	20
80	84	19
81	84	18
82	85	17
83	85	16
84	86	15
85	86	14
86	87	13
87	87	11
88	88	10
89	88	9
90	89	8
91	89	7
92	90	6
93	91	5
94	91	4
95	92	3
96	92	2
97	93	1
98	93	0
99	94	0
